Brewery_Name,Overall_review,Aroma_review,Appearance_review,Beer_type,Review_taste,Beer_name,Beer_abv
Jolly Pumpkin Artisan Ales,5,4.5,4.5,American Wild Ale,4.5,La Roja,7.2
Jolly Pumpkin Artisan Ales,4.5,4.5,4,American Wild Ale,4,Roja De Kriek,
Jolly Pumpkin Artisan Ales,4,4.5,4,American Wild Ale,4,Perseguidor (Batch 5),
Jolly Pumpkin Artisan Ales,4,3.5,2.5,American Wild Ale,4,Perseguidor (Batch 4),8.1
Jolly Pumpkin Artisan Ales,4.5,5,4.5,American Double / Imperial Stout,4.5,"Madrugada Obscura, Dark Dawn Stout",8.1
Jolly Pumpkin Artisan Ales,4,4.5,4,American Wild Ale,4,Perseguidor (Batch 3),
Jolly Pumpkin Artisan Ales,4.5,4,4,Gueuze,4,Lambicus Dexterius,
Elysian Fields,4,4.5,4.5,American Double / Imperial IPA,5,Hubris Imperial IPA,8.7
Elysian Fields,4.5,3.5,3.5,American Wild Ale,4,Haleakala Hibiscus Sour Ale,5
Thornbridge Brewery,4,4.5,3.5,American Double / Imperial Stout,4.5,Bracia,9
Thornbridge Brewery,4,3.5,4.5,Russian Imperial Stout,4.5,St Petersburg Christmas,7.2
Thornbridge Brewery,4.5,4.5,4.5,Russian Imperial Stout,4.5,Bolvig Saint Petersburg Deluxe Edition,7.7
Firestone Walker Brewing Co.,4.5,4,4,American Barleywine,4,Summer Barleywine,
Firestone Walker Brewing Co.,4,4.5,4,Lambic - Unblended,4.5,Lambic,5
Firestone Walker Brewing Co.,4.5,4.5,4,American Wild Ale,4,Experimental DBA,7.3
Firestone Walker Brewing Co.,4.5,4.5,4,American Barleywine,4.5,Helldorado,13
Firestone Walker Brewing Co.,5,5,5,Quadrupel (Quad),5,Saucerful O' Secrets,10.2
Karl Strauss Brewing Company,4.5,5,5,American Barleywine,4,Karl Strauss Barleywine,8
Court Avenue Brewing Company,4,4,4,Foreign / Export Stout,4.5,Blackhawk Stout,6.13
Elliot Glacier Public House,4,4,4.5,Russian Imperial Stout,4,Ghost Ridge Imperial Stout,7.6
"Paper City Brewery Co., Inc.",4.5,4,4,American Double / Imperial IPA,4,Hop Monster,9.5
Maplewood Farms Restaurant & Brewery,4.5,4,4.5,Russian Imperial Stout,4.5,Imperialist Pig Stout,
Cellar Rats Brewery,4,4,4.5,Russian Imperial Stout,4.5,Black Rat Imperial Stout,8.7
Hornbeer,4,4,4,Russian Imperial Stout,4,Black Magic Woman,10
Golden Valley Brewery and Pub,4,4,4,Bière de Champagne / Bière Brut,4,IPA V.S. Brut,9.5
Diamond Bear Brewing Company,4,4,4,American Double / Imperial IPA,4,Two Term Double IPA,8.5
Willimantic Brewing Co.,4,3.5,3.5,American Double / Imperial IPA,4,Willimantic 1st Class Festive Ale 2003,8.4
Marshall Brewing Company,5,4.5,5,American Black Ale,4.5,El CuCuy,8.6
Willimantic Brewing Co.,4,4.5,3.5,Baltic Porter,4.5,Willimantic Mail Call Imperial Porter,9.3
Willimantic Brewing Co.,4.5,4.5,3.5,American Double / Imperial IPA,4,Willimantic Barrel Aged IPA-2 Blend,8.5
Willimantic Brewing Co.,4,4,4,American Double / Imperial IPA,4,Willimantic 1st Class Festive Ale,8.3
Willimantic Brewing Co.,4.5,4.5,4,Russian Imperial Stout,3.5,Willimantic D-8 Imperious Stout,8.4
Willimantic Brewing Co.,4,4.5,4,American Double / Imperial IPA,4,Willimantic Festive Ale,8.3
Willimantic Brewing Co.,4.5,4.5,4,Flanders Red Ale,4.5,Willimantic Willi Funk Hammer,10
Willimantic Brewing Co.,4.5,4.5,4.5,American Double / Imperial IPA,4.5,Willimantic Jake 180 IPA,8.5
Willimantic Brewing Co.,4,3.5,4,Belgian IPA,4,Willimantic Dyvyl Hopyard IPA,8.4
Willimantic Brewing Co.,4,4,4,Flanders Red Ale,4,Willimantic Ned Flanders Red,5.1
Willimantic Brewing Co.,4,4,4,American Barleywine,4,Dickel Barrel Aged Willi Funkhammer Barleywine,9.1
Willimantic Brewing Co.,5,4.5,4.5,American Double / Imperial IPA,5,Willimantic IPA Squared,8.3
Willimantic Brewing Co.,4,4,3.5,American Wild Ale,4,Willimantic Willi Wonder!,7
Willimantic Brewing Co.,4,3.5,4,American Double / Imperial IPA,4,Willimantic Pushing The Envelope Extreme,8.8
Moat Mountain Smoke House & Brewing Co.,4.5,4,4,Russian Imperial Stout,4,Moat Imperial Stout,9
Moat Mountain Smoke House & Brewing Co.,4,4.5,4,Weizenbock,4,Moat Wheat Bock,8.5
Moat Mountain Smoke House & Brewing Co.,4,3.5,4,Foreign / Export Stout,4.5,Moat Stout,5.8
Goose Island Beer Co.,4.5,4.5,4.5,American Double / Imperial Stout,5,Bourbon County Brand Stout,14.5
Goose Island Beer Co.,4.5,4.5,4,American Barleywine,5,Brandywine,10
Goose Island Beer Co.,4,3.5,5,American Black Ale,4,Black Imperial IPA,8
Goose Island Beer Co.,4.5,4.5,4,American Double / Imperial IPA,4.5,Batch 4000 (Belgian Double IPA),8
Goose Island Beer Co.,4,3.5,4,Foreign / Export Stout,3.5,Honestly Sour,6
Goose Island Beer Co.,4.5,4.5,4,American Double / Imperial Stout,4.5,Ghost Pepper Bourbon County Brand Stout,13
Goose Island Beer Co.,4,5,4.5,Belgian IPA,4,Pork Soda,7.5
Goose Island Beer Co.,4.5,5,4,Russian Imperial Stout,5,Imperial Bourbon Coffee Stout,
Goose Island Beer Co.,4,4.5,4,American Double / Imperial IPA,4,Flight Delay Imperial IPA,8.1
Goose Island Beer Co.,4.5,4.5,4.5,American Double / Imperial Stout,4.5,Brandy Barrel Aged Bourbon County Stout,13
Goose Island Beer Co.,4.5,5,3.5,American Double / Imperial Stout,4.5,Bourbon County Brand Coffee Stout,13
Goose Island Beer Co.,5,5,4.5,American Double / Imperial Stout,5,Rare Bourbon County Stout,13
Goose Island Beer Co.,5,4.5,4.5,American Double / Imperial Stout,5,Raspberry Bourbon County Brand Coffee Stout,13
Goose Island Beer Co.,4.5,4.5,3.5,American Wild Ale,4.5,Amara,
Goose Island Beer Co.,4,3.5,4,American Black Ale,4,A Beer Named Sue,7.5
Goose Island Beer Co.,5,5,5,American Double / Imperial Stout,5,Bourbon County Brand Cherry Stout,13
Goose Island Beer Co.,4.5,3.5,3,American Wild Ale,3.5,Dominique,8.5
Goose Island Beer Co.,4,4.5,4,Weizenbock,4.5,Smoked Dunkelweizenbock,7.7
Goose Island Beer Co.,4.5,3,4.5,Weizenbock,5,Dunkelweizenbock,7.6
Goose Island Beer Co.,4,4.5,4,American Wild Ale,4,Lolita,7
Ballast Point Brewing Company,4,4.5,4,American Double / Imperial Stout,4.5,Sea Monster Imperial Stout,10
Goose Island Beer Co.,4,4.5,3.5,American Wild Ale,4.5,Bourbon Barrel Aged Lolita,
Goose Island Beer Co.,4,4,3.5,American Double / Imperial Stout,4,Mexican Hot Chocolate Bourbon County Brand Stout,
Goose Island Beer Co.,5,4.5,4,American Double / Imperial Stout,4.5,Neapolitan Bourbon County Stout,13
Goose Island Beer Co.,4,4,4,American Barleywine,4,Batch 2000 (Barleywine),11.59
Goose Island Beer Co.,4,4,4.5,American Double / Imperial Stout,4,Ancho Chili Bourbon County Brand Stout,13
Goose Island Beer Co.,5,4.5,4.5,American Double / Imperial Stout,5,Bourbon County Manhattan Stout,13
Goose Island Beer Co.,4.5,4.5,4,Russian Imperial Stout,5,Bourbon Blueberry Imperial Stout,9.9
Goose Island Beer Co.,4,4.5,3.5,American Wild Ale,4,Bourbon Barrel Aged Sour Raspberry Matilda,
Goose Island Beer Co.,5,4.5,4.5,Russian Imperial Stout,4.5,Black Cat Coffee Stout,9.8
Goose Island Beer Co.,4.5,4,5,American Barleywine,4.5,Epidurale,10
Goose Island Beer Co.,4,2,5,American Double / Imperial Stout,4,Big John,11.5
Goose Island Beer Co.,4,3.5,4,American Wild Ale,4,Sour Grapes,
Goose Island Beer Co.,4,4,4,American Black Ale,4.5,Spooky,8
Goose Island Beer Co.,4.5,4.5,4,American Double / Imperial Stout,4.5,Sweet Kiss Stout,8
Goose Island Beer Co.,4,4.5,4,American Double / Imperial Stout,4.5,Bourbon County Stout With Cherry Bark,13
Goose Island Beer Co.,4.5,4.5,4.5,American Double / Imperial Stout,4.5,Sweet & Spicy Stout,8.1
Goose Island Beer Co.,4.5,4,4,Belgian IPA,4.5,CBC IPA,6.2
Goose Island Beer Co.,4,4,4,American Barleywine,4,Old Aberration,10.2
Goose Island Beer Co.,4,4,4,American Double / Imperial Stout,4,Rind Grind,7.4
Goose Island Beer Co.,4.5,4.5,4,American Wild Ale,4,Mae,6.5
Goose Island Beer Co.,4,4,4,American Wild Ale,4.5,Blackberry Dominique,8.5
Goose Island Beer Co.,4.5,4,4,Belgian IPA,5,Minx,8
Goose Island Beer Co.,4.5,4,4,American Double / Imperial Stout,4,Bourbon County Stout With Cocoa Nibs,13
Goose Island Beer Co.,4,4,4,Baltic Porter,4,Porter And Proud,7.4
Goose Island Beer Co.,4.5,4.5,3.5,American Double / Imperial Stout,4.5,Chocolate Cherry Bourbon County Brand Stout,
Goose Island Beer Co.,4,4,4,American Double / Imperial Stout,4.5,Bourbon County Brand Vanilla Stout,13
Goose Island Beer Co.,4.5,4.5,4,American Double / Imperial Stout,4.5,Night Stalker,11.7
Goose Island Beer Co.,4.5,4,4,Russian Imperial Stout,5,Candy Cane Bourbon Russian Imperial Stout,9
Goose Island Beer Co.,4,4,4,American Wild Ale,4,Cherry Dominique,10
Block 15 Brewery & Restaurant,4.5,4.5,4,Russian Imperial Stout,4.5,Imagine,15
Block 15 Brewery & Restaurant,4.5,5,4.5,American Double / Imperial Stout,4.5,Super Nebula,11
Block 15 Brewery & Restaurant,4,4,4,American Barleywine,4,Hypnosis,12
Block 15 Brewery & Restaurant,4.5,3.5,4.5,American Double / Imperial IPA,4.5,Six Hop Wonder,9.5
Astoria Brewing Company / Wet Dog Cafe,4.5,4.5,4.5,American Double / Imperial IPA,4.5,Battle Bitch Imperial IPA,9
Astoria Brewing Company / Wet Dog Cafe,4,3.5,4,American Double / Imperial IPA,4,Bitter Bitch Imperial IPA,9.6
Queen City Brewing Limited,4,4,4,American Barleywine,4,Barley Wine Winter '05,
The Grizzly Paw Brewing Company,4.5,4,4,American Barleywine,4.5,Sour Barley Wine,
Bridge Road Brewers,5,4,4.5,American Black Ale,4.5,B2 Bomber,8.5
Brasserie De La Vallée De Chevreuse,4.5,4,4,Belgian IPA,5,Volcelest Biere De Printemps,4.7
Thomas Hooker Brewing Company,4,4,3,American Barleywine,4,Thomas Hooker Old Marley Barleywine,10
Sonoma Chicken Coop,4.5,3.5,4,Weizenbock,3.5,Starbock,
Sonoma Chicken Coop,5,3,5,Flanders Red Ale,4,Belgian XXXX,
Hamanako Brewery,5,3.5,3,American Barleywine,4.5,Heavens Door,9
Hyouko Yashiki No Mori Brewery,4.5,4,4,American Double / Imperial Stout,5,Swan Lake Imperial Stout,10
Humes Brewing Company,4.5,4,4,American Barleywine,4.5,Old Hophead,8
Spring House Brewing Company,4.5,4,4,American Double / Imperial Stout,4,Kerplunk Imperial Chocolate Stout,8.1
Spring House Brewing Company,4,4,4,Belgian IPA,3.5,Robot Bastard!,7
Minipivovar Matuška Broumy (Matuska),4,3.5,4,American Black Ale,3.5,Black Rocket,7
Hornbeer,4,4,4.5,American Double / Imperial Stout,4,Caribbean Rumstout,11
Hornbeer,4,4.5,4,American Double / Imperial IPA,4.5,Happy Hoppy Viking,9.2
Hornbeer,4,4,4,American Black Ale,4,Hophorn,9.3
Big Bear Brewing Company,4,4,4,American Double / Imperial IPA,4.5,Bourbon Barrel Aged Double IPA,8.5
Max's Fanno Creek Brew Pub,4.5,4.5,5,American Barleywine,4.5,Gluteus Maximus 2004,11
Five Seasons North,5,4.5,5,American Double / Imperial IPA,5,Big Boy Double IPA,
Left Coast Brewing Company,4,4,3.5,American Double / Imperial IPA,4,Left Coast Hop Juice,9.7
Left Coast Brewing Company,4.5,5,4.5,American Black Ale,5,Left Coast The Wedge,7.2
Five Seasons North,4.5,4.5,4,American Barleywine,4.5,Cloud Nine Barleywine,
Five Seasons North,4,4,4,Weizenbock,4,Weiss Asse Weizenbock,
Five Seasons North,4,4.5,3.5,Quadrupel (Quad),4.5,The Question,
Five Seasons North,4,4.5,4.5,American Double / Imperial Stout,4,The Grape Ape,10.1
Five Seasons North,4,4.5,3.5,Quadrupel (Quad),5,Whisky Barrel Aged Quinte55ence,
Five Seasons North,4,3.5,4,Belgian IPA,4,Bear's Beer Belgian IPA,
Five Seasons North,4.5,4.5,4.5,American Double / Imperial Stout,4.5,Reserve 500,
Five Seasons North,4,4,4,American Double / Imperial Stout,4,10W-30 Imperial Oatmeal Stout,9.4
Ballast Point Brewing Company,4,4.5,4.5,American Barleywine,4.5,Three Sheets Barley Wine,10
Ballast Point Brewing Company,4.5,4,4.5,Gueuze,4.5,Gueuze (Hout Series),
Ballast Point Brewing Company,4,5,4.5,American Double / Imperial Stout,4.5,Sea Monster (3 Sheets Rum Oak Chip Aged),10
Ballast Point Brewing Company,4,3.5,4,American Wild Ale,3,Apricot Sour,6.6
Ballast Point Brewing Company,4,4,4,American Barleywine,4,3 Sheets Barleywine,9.5
Ballast Point Brewing Company,5,4,5,American Barleywine,5,Three Sheets Barley Wine Blend (1996 & 2006),10
Ballast Point Brewing Company,4.5,4,5,Russian Imperial Stout,4,Come About Imperial Stout,9
Ballast Point Brewing Company,4.5,4.5,4,American Wild Ale,4.5,Beachwood Blend (Hout Series),5.4
Ballast Point Brewing Company,4,4,4,American Barleywine,4,"Three Sheets - Syrah, Brandy, And Bourbon Barrel Aged",9
Ballast Point Brewing Company,4.5,3.5,4,American Wild Ale,4,BC Hout,5.5
Ballast Point Brewing Company,4.5,5,4,American Barleywine,4,Three Sheets - Rum Barrel Aged,9
Harpoon Brewery,4,4.5,4,American Double / Imperial IPA,4.5,Harpoon Leviathan - Imperial IPA,10
Ballast Point Brewing Company,4,4.5,4,American Double / Imperial Stout,4.5,Sea Monster (Devil's Share Whiskey Oak Chip Aged),10
Harpoon Brewery,4,4,4,Quadrupel (Quad),4,Harpoon Leviathan - Quad,11.75
Harpoon Brewery,5,4.5,4.5,American Double / Imperial IPA,5,Harpoon Oak Aged Imperial IPA,10
Harpoon Brewery,4.5,4.5,4,American Wild Ale,4.5,Harpoon Wild Hibernian,6.3
Avery Brewing Company,4,4.5,5,American Double / Imperial IPA,4.5,DuganA IPA,8.5
Harpoon Brewery,4,4,4,Baltic Porter,4,Harpoon Leviathan - Baltic Porter,9.5
Harpoon Brewery,4,4,4,American Barleywine,4.5,Harpoon Barleywine (100 Barrel Series #04),10.3
Harpoon Brewery,5,4,4,Baltic Porter,4,Harpoon Leviathan - Baltic Porter (Barrel-Aged W/ Brett),12
Harpoon Brewery,4.5,4.5,4,American Wild Ale,4.5,Harpoon Wild Ale,5
Firehouse Grill & Brewery,4,4,4,Baltic Porter,4,Veles Baltic Porter,
Firehouse Grill & Brewery,4.5,4,4,American Double / Imperial Stout,4,One Tun Imperial Stout,9.8
Firehouse Grill & Brewery,4.5,4.5,4,American Wild Ale,5,Vesuvius,5.5
OPA-OPA Steakhouse & Brewery,4.5,4,4.5,American Barleywine,4.5,R2K (Bourbon Barrel-aged Barleywine),8.5
OPA-OPA Steakhouse & Brewery,4,3.5,4.5,American Double / Imperial IPA,4.5,A-10 Warthog Double IPA,11.5
Breakwater Brewing,4,4,4.5,American Double / Imperial IPA,4,Maverick's,8.7
TableRock BrewPub,4,3,3,American Double / Imperial IPA,4.5,Hopzilla,8
TableRock BrewPub,4.5,4,4,American Double / Imperial IPA,4,Hopocalypse,9.23
Microbrasserie Du Lac-Saint-Jean,4,4,5,Russian Imperial Stout,4,Rang Dix,9.7
Old Bear Brewery,4,3.5,4,American Double / Imperial IPA,4,Duke Of Bronte Capstan F.S.,12.5
Shmaltz Brewing Company,4,3.5,4,American Double / Imperial IPA,4.5,He'Brew Bittersweet Lenny's R.I.P.A.,10
Avery Brewing Company,4.5,4.5,4,American Wild Ale,4.5,Eremita,
Shmaltz Brewing Company,4,4,4,American Double / Imperial IPA,5,He'Brew Bittersweet Lenny's R.I.P.A. - Cedar & Simcoe,10
Avery Brewing Company,4,4,4,American Double / Imperial IPA,4,Maharaja,10.3
Shmaltz Brewing Company,4,4.5,4,American Double / Imperial IPA,4.5,He'Brew Bittersweet Lenny's R.I.P.A. On Rye,10
Little Apple Brewing Company,4,4,3.5,American Barleywine,4.5,BrewMan's Barleywine,10.5
Little Apple Brewing Company,5,3,3.5,Russian Imperial Stout,3.5,Kringle's Imperial Stout,9.2
Capitol City Brewing,4.5,4,4,American Barleywine,4,Capital City El Gigante,10.5
Capitol City Brewing,4.5,4.5,3,Russian Imperial Stout,4,Capital City Fuel,
Museum Brewing Company / White Shield Brewery,4,3.5,4,Russian Imperial Stout,3.5,Czar's Imperial Stout,8
Crooked Stave Artisan Beer Project,4,4,4,American Wild Ale,4,"Crooked Stave Wild Wild Brett ""Yellow""",6
Crooked Stave Artisan Beer Project,4,4.5,3.5,American Wild Ale,4.5,"Crooked Stave Wild Wild Brett ""Orange""",6
Crooked Stave Artisan Beer Project,4,4,4,American Wild Ale,4.5,"Crooked Stave Wild Wild Brett ""Rouge""",5.2
Avery Brewing Company,4,3.5,4,American Wild Ale,4,Brabant,8.65
Crooked Stave Artisan Beer Project,4,4,5,American Wild Ale,4,"Crooked Stave Wild Wild Brett ""Green""",7
Redoak Boutique Beer Café,4,4,4,American Double / Imperial IPA,4.5,Double American IPA,8
Mayflower Brewing Company,4,4,4.5,Russian Imperial Stout,3.5,Mayflower Imperial Stout,10.5
Bullfrog Brewery,4.5,5,4,American Wild Ale,4.5,El Rojo Diablo,8
Mother Earth Brew Co.,4,4,4,American Double / Imperial IPA,4,Hop Diggity,8
Mother Earth Brew Co.,4.5,4.5,4.5,Baltic Porter,4,Vanilla Storm (Pro/Am),8.8
Mother Earth Brew Co.,4,4.5,4,American Black Ale,4,The Crucible Black IPA,7.3
Bullfrog Brewery,4.5,4,4.5,American Wild Ale,4,Beesting Gone Wild,7
Bullfrog Brewery,4,4,3,American Wild Ale,4,SamO Blend #667 (a.k.a. The Neighbor Of The Beast),5
Bullfrog Brewery,4.5,4,3.5,Flanders Red Ale,4.5,Duchesse De Duryea,7
Bullfrog Brewery,5,4.5,4.5,American Wild Ale,4.5,Black Cherry Bomb,
Bullfrog Brewery,4,4,4,American Wild Ale,4,Liquid Sunshine Reserva,6
Bullfrog Brewery,4.5,4.5,3.5,Quadrupel (Quad),4.5,Bourbon Barrel XXXX Quad,11.5
Bullfrog Brewery,4.5,4.5,4.5,American Double / Imperial IPA,4,Hop-Gasm,9.2
Bullfrog Brewery,5,4.5,4.5,American Wild Ale,4.5,Water Of Life Kegs Gone Wild Version,
Bullfrog Brewery,4.5,4.5,4,American Double / Imperial IPA,4.5,Edgar IPA Christmas Edition,9.5
Bullfrog Brewery,4,3.5,4,American Wild Ale,3.5,Tim And Kathy's Strawberry Fields,6
Bullfrog Brewery,4.5,4.5,4,American Wild Ale,4.5,Edgar Gone Wild,8
Bullfrog Brewery,4,3.5,4,American Barleywine,4.5,Old Toad Barleywine,11
Bullfrog Brewery,4.5,4.5,4.5,American Wild Ale,4.5,Hop Harvest 2009 Gone Wild,
Bullfrog Brewery,4,4,3.5,American Wild Ale,4,Inspiration Wild,5.6
Bullfrog Brewery,4,4.5,4,Belgian IPA,4,Thai P.A.,7.2
Bullfrog Brewery,4.5,4,4.5,American Double / Imperial Stout,4.5,Ala-Blaster,
Bullfrog Brewery,4,4,3.5,American Double / Imperial IPA,4,Big Ed,9.5
Bullfrog Brewery,5,4.5,4,American Double / Imperial IPA,4.5,Deuane,10
Bullfrog Brewery,4,4,3.5,American Wild Ale,4.5,El Diablo Deluxe,
Bullfrog Brewery,4,4,3.5,Quadrupel (Quad),4.5,XXXX Quad,11
Bullfrog Brewery,4,4,3.5,American Wild Ale,4.5,Beekeeper,8.5
Bullfrog Brewery,4,5,3,Belgian IPA,4.5,Mondo Calypso,6
Bullfrog Brewery,4.5,4,4,American Wild Ale,4.5,Citra-Delic Wheat Gone Wild,
Bullfrog Brewery,4,4,4.5,American Barleywine,4,Barrel Aged Old Toad Barleywine,11.5
Avery Brewing Company,5,5,5,American Wild Ale,4.5,Opus Altar Boy,10
Avery Brewing Company,4.5,4,4.5,Quadrupel (Quad),4.5,Avery  De Vogelbekdieren (The Platypus),10.5
Avery Brewing Company,4,4,4,American Double / Imperial IPA,4,Ale To The Chief,8.75
Avery Brewing Company,4,4,4,American Double / Imperial Stout,4.5,Black Tot,10.08
Avery Brewing Company,4,4,4,American Wild Ale,4,Sui Generis,10.2
Avery Brewing Company,4.5,4.5,4,American Double / Imperial IPA,4.5,Avery Anniversary Ale - Eleven,9
Avery Brewing Company,4.5,5,4,American Wild Ale,4.5,Tap Room Sour,9.5
Avery Brewing Company,4.5,3.5,4,Weizenbock,4.5,Avery Anniversary Ale - Thirteen,9.5
Avery Brewing Company,4,3.5,4,American Barleywine,4.5,Horsey Hog Heaven Barley Wine,
Avery Brewing Company,4,4,3.5,American Wild Ale,4.5,Voltron,
Avery Brewing Company,5,4.5,4.5,Quadrupel (Quad),4,Brett Reverend,10
Avery Brewing Company,4.5,4.5,4.5,American Wild Ale,4,Drie Ellies,6
Avery Brewing Company,5,5,4,American Double / Imperial Stout,4.5,Coffee Czar,11.03
Avery Brewing Company,5,5,4,American Double / Imperial IPA,4.5,Avery Anniversary Ale - Ten,10
Avery Brewing Company,4,4.5,4,Russian Imperial Stout,4.5,The Czar,11.03
Avery Brewing Company,4,4.5,4,Quadrupel (Quad),4,The Missionary,10
Avery Brewing Company,4,4,4,Quadrupel (Quad),4,Preachin' To The Choir,11.2
Avery Brewing Company,4,4.5,4,American Double / Imperial Stout,4.5,Black Tot (Rye Barrel),10.08
Avery Brewing Company,4.5,4.5,5,American Double / Imperial Stout,5,Mephaddict,16.03
Avery Brewing Company,4.5,4.5,4,American Wild Ale,4,Eremita II,
Avery Brewing Company,4,4,4.5,American Double / Imperial IPA,4,Double Dry Hopped Dugana IPA,8.5
Avery Brewing Company,4,4,4,American Double / Imperial Stout,4,Black Tot (Bourbon Barrel),10.08
Avery Brewing Company,5,5,4,American Double / Imperial Stout,5,Margarete,15.43
Avery Brewing Company,4,4,3.5,American Wild Ale,4.5,Immitis,9.54
Avery Brewing Company,5,5,4.5,American Double / Imperial Stout,4.5,Stranahan Barrel Aged Czar,11
Avery Brewing Company,4.5,4.5,4.5,Quadrupel (Quad),4.5,Port Altar Boy,10
Avery Brewing Company,4,4,4.5,Quadrupel (Quad),4.5,The Reverend (Eagle Rare Barrel Aged),
Avery Brewing Company,4,3.5,4,American Wild Ale,4.5,Quinquepartite,9.91
Avery Brewing Company,4,4.5,4.5,Quadrupel (Quad),4.5,The Reverend (West End Bourbon Barrel),10
Avery Brewing Company,5,3,3.5,American Wild Ale,4.5,Dépuceleuse,9.73
Avery Brewing Company,4,4.5,4,American Barleywine,4.5,Überschwein (Unfiltered Double Dry Hopped Hog Heaven),9.2
Avery Brewing Company,4.5,4.5,4,American Wild Ale,4.5,Meretrix,9.62
Avery Brewing Company,5,5,4.5,Quadrupel (Quad),4.5,Oak Barrel Reverend,10
Avery Brewing Company,4,4,4,American Double / Imperial IPA,4,Gemini,8.1
Peak Organic Brewing Company,4,4.5,4.5,American Double / Imperial Stout,3.5,Peak Organic French Oak Mocha Stout,8.5
Red Rock Brewing Company,4,4.5,4,American Double / Imperial IPA,4.5,Elephino,8
Raasted & Randers Bryghus A/S,4.5,4.5,4.5,American Double / Imperial Stout,4,Raasted Oak Aged Imperial Stout,10
Raasted & Randers Bryghus A/S,4.5,4,4.5,American Double / Imperial Stout,4,Raasted Double Imperial Stout,12.5
Utah Brewers Cooperative,4,4.5,4,American Double / Imperial IPA,4,Squatters Hop Rising,9
Bierbrouwerij Grand-Café  Emelisse,4,4,4,Russian Imperial Stout,3.5,Emelisse Imperial Russian Stout - Jack Daniels Barrel Aged,11
Bierbrouwerij Grand-Café  Emelisse,4,4,4,Russian Imperial Stout,4,Emelisse Imperial Russian Stout,11
Bierbrouwerij Grand-Café  Emelisse,4,4.5,4,Russian Imperial Stout,4,Emelisse Russian Imperial Stout - Peated,11
Bierbrouwerij Grand-Café  Emelisse,4,4,4,American Black Ale,4.5,Emelisse Black IPA,8
Bierbrouwerij Grand-Café  Emelisse,4,3.5,4,Russian Imperial Stout,4.5,Emelisse Imperial Russian Stout - Bouwmore Barrel,11
Bierbrouwerij Grand-Café  Emelisse,4,3,4,Foreign / Export Stout,4,Emelisse Espresso Stout,10
Bierbrouwerij Grand-Café  Emelisse,4,4,3.5,Russian Imperial Stout,4,Emelisse Imperial Russian Stout - Laphroaig Barrel Aged,11
The Kernel Brewery,5,4,4,American Double / Imperial IPA,4.5,IPA Simcoe,7.9
The Kernel Brewery,4,4,3.5,American Black Ale,4,IPA Black III,7.4
The Kernel Brewery,4,4.5,4,American Black Ale,4.5,IPA Black FASM Tate,6
The Kernel Brewery,4,3.5,3,Russian Imperial Stout,4.5,Imperial Brown Stout London 1856,10.1
G.G. Brewers,4,3.5,3.5,Weizenbock,4,What's Up Weizenbock,
G.G. Brewers,4,4,2.5,American Double / Imperial Stout,2.5,Apricot Stout,9
Rio Salado Brewing Company,4.5,4,4.5,American Barleywine,4.5,Rio Salado Redzilla,10
Butternuts Beer & Ale,4,4,4,American Wild Ale,4,Autumn Harvest 2008,8.6
Empire Brewing Company,4,3.5,3.5,Baltic Porter,4,Maple Smoked Porter,7
Empire Brewing Company,4,4,4,American Barleywine,4,Empire Barley Wine,
Alpine Beer Company,4.5,4.5,4,American Wild Ale,4,Ichabod Ale 2009,5
Alpine Beer Company,4.5,4.5,4,American Black Ale,4.5,Ugly,7.5
Alpine Beer Company,4,4,3.5,Flanders Red Ale,4.5,Ned,5.17
Alpine Beer Company,4.5,4.5,4.5,American Barleywine,4.5,Good,17
Alpine Beer Company,4,3.5,4,American Double / Imperial Stout,4.5,Bourbon Barrel-Aged Odin's Raven,11
Alpine Beer Company,4,4.5,4,American Double / Imperial IPA,4,Pure Hoppiness,8
Alpine Beer Company,4,4,4,American Double / Imperial IPA,4.5,Exponential Hoppiness,11
Alpine Beer Company,4,4,4,American Double / Imperial Stout,3.5,Boris,10
Alpine Beer Company,4,4,3.5,American Double / Imperial Stout,4,Odin's Raven,10
Alpine Beer Company,4,4,4,American Wild Ale,4,Ichabod Ale 2007,6.6
Alpine Beer Company,4.5,4,4.5,American Double / Imperial IPA,4.5,Bad Boy,9
Brouwerij Drie Fonteinen,4.5,3.5,4,Lambic - Unblended,4.5,Lambiek (1 Year Old),5
Alpine Beer Company,4,4,4,Lambic - Unblended,4,Briscoe,5
Alpine Beer Company,4.5,4.5,4,American Barleywine,4.5,Great,14
Tustin Brewing Company,4.5,4.5,4,American Double / Imperial IPA,4,Double Play Ipa,8.9
Tustin Brewing Company,4,4.5,4,American Double / Imperial IPA,4,Here's To Hoppiness,
Naked City Taphouse,4.5,3.5,4,American Double / Imperial Stout,5,The Big Lebrewski,8.3
Dark Star Brewing Company Limited,4.5,5,5,American Black Ale,5,Thornstar,4.7
Old Forge Brewing Company,4,3.5,3.5,American Double / Imperial IPA,4,Anniversary Double IPA,7.5
Triangle Brewing Company,4.5,5,4.5,American Double / Imperial IPA,5,Imperial Amber Ale,8.2
Haines Brewing Company,4.5,4.5,4,Russian Imperial Stout,4.5,Black Fang,8
Niagara Brewing Company,4,4.5,5,Eisbock,4,Niagara Eisbock,8
Ithaca Beer Company,4.5,4.5,4,American Double / Imperial IPA,4.5,Alphalpha,8.5
